n,t,x,y,vx,vy,rx,ry
0,0,0,8,1.6,0,-0,-0.104219
100,0.0001,0.016,7.99999,1.6,-0.00104219,-0.000208437,-0.104218
200,0.0001,0.032,7.99998,1.6,-0.00208436,-0.000416868,-0.104217
300,0.0001,0.0479999,7.99995,1.59999,-0.00312652,-0.000625289,-0.104214
400,0.0001,0.0639998,7.99992,1.59998,-0.00416865,-0.000833693,-0.104211
500,0.0001,0.0799996,7.99987,1.59997,-0.00521073,-0.00104208,-0.104207
600,0.0001,0.0959992,7.99981,1.59996,-0.00625277,-0.00125043,-0.104201
700,0.0001,0.111999,7.99974,1.59995,-0.00729475,-0.00145876,-0.104195
800,0.0001,0.127998,7.99967,1.59993,-0.00833667,-0.00166705,-0.104187
900,0.0001,0.143997,7.99958,1.59992,-0.0093785,-0.00187529,-0.104179
1000,0.0001,0.159997,7.99948,1.5999,-0.0104202,-0.00208349,-0.10417
1100,0.0001,0.175995,7.99937,1.59987,-0.0114619,-0.00229163,-0.10416
1200,0.0001,0.191994,7.99925,1.59985,-0.0125034,-0.00249972,-0.104148
1300,0.0001,0.207992,7.99912,1.59982,-0.0135449,-0.00270774,-0.104136
1400,0.0001,0.22399,7.99898,1.5998,-0.0145862,-0.00291569,-0.104123
1500,0.0001,0.239988,7.99883,1.59977,-0.0156273,-0.00312357,-0.104109
1600,0.0001,0.255986,7.99867,1.59973,-0.0166683,-0.00333136,-0.104094
1700,0.0001,0.271983,7.99849,1.5997,-0.0177092,-0.00353908,-0.104077
1800,0.0001,0.28798,7.99831,1.59966,-0.0187499,-0.0037467,-0.10406
1900,0.0001,0.303976,7.99812,1.59962,-0.0197904,-0.00395423,-0.104042
2000,0.0001,0.319972,7.99792,1.59958,-0.0208307,-0.00416165,-0.104023
2100,0.0001,0.335968,7.9977,1.59954,-0.0218709,-0.00436897,-0.104003
2200,0.0001,0.351963,7.99748,1.5995,-0.0229108,-0.00457618,-0.103982
2300,0.0001,0.367958,7.99724,1.59945,-0.0239505,-0.00478327,-0.10396
2400,0.0001,0.383952,7.997,1.5994,-0.02499,-0.00499024,-0.103937
2500,0.0001,0.399946,7.99674,1.59935,-0.0260292,-0.00519709,-0.103914
2600,0.0001,0.415939,7.99648,1.5993,-0.0270683,-0.0054038,-0.103889
2700,0.0001,0.431932,7.9962,1.59924,-0.028107,-0.00561037,-0.103863
2800,0.0001,0.447924,7.99592,1.59918,-0.0291455,-0.0058168,-0.103836
2900,0.0001,0.463915,7.99562,1.59913,-0.0301837,-0.00602308,-0.103808
3000,0.0001,0.479906,7.99531,1.59906,-0.0312217,-0.00622921,-0.10378
3100,0.0001,0.495897,7.99499,1.599,-0.0322593,-0.00643519,-0.10375
3200,0.0001,0.511886,7.99467,1.59894,-0.0332967,-0.00664099,-0.103719
3300,0.0001,0.527875,7.99433,1.59887,-0.0343337,-0.00684663,-0.103688
3400,0.0001,0.543864,7.99398,1.5988,-0.0353704,-0.0070521,-0.103655
3500,0.0001,0.559851,7.99362,1.59873,-0.0364068,-0.00725739,-0.103622
3600,0.0001,0.575838,7.99325,1.59865,-0.0374429,-0.00746249,-0.103587
3700,0.0001,0.591824,7.99287,1.59858,-0.0384786,-0.0076674,-0.103552
3800,0.0001,0.60781,7.99248,1.5985,-0.0395139,-0.00787212,-0.103516
3900,0.0001,0.623794,7.99208,1.59842,-0.0405489,-0.00807664,-0.103478
4000,0.0001,0.639778,7.99167,1.59834,-0.0415835,-0.00828096,-0.10344
4100,0.0001,0.655761,7.99125,1.59825,-0.0426177,-0.00848507,-0.103401
4200,0.0001,0.671743,7.99082,1.59817,-0.0436515,-0.00868896,-0.103361
4300,0.0001,0.687724,7.99038,1.59808,-0.0446849,-0.00889264,-0.10332
4400,0.0001,0.703705,7.98992,1.59799,-0.0457179,-0.00909609,-0.103278
4500,0.0001,0.719684,7.98946,1.5979,-0.0467505,-0.00929931,-0.103235
4600,0.0001,0.735663,7.98899,1.59781,-0.0477826,-0.00950229,-0.103191
4700,0.0001,0.75164,7.98851,1.59771,-0.0488143,-0.00970504,-0.103146
4800,0.0001,0.767617,7.98801,1.59761,-0.0498455,-0.00990754,-0.1031
4900,0.0001,0.783593,7.98751,1.59751,-0.0508763,-0.0101098,-0.103054
5000,0.0001,0.799567,7.987,1.59741,-0.0519066,-0.0103118,-0.103006
5100,0.0001,0.815541,7.98647,1.5973,-0.0529364,-0.0105135,-0.102958
5200,0.0001,0.831513,7.98594,1.5972,-0.0539657,-0.010715,-0.102908
5300,0.0001,0.847485,7.98539,1.59709,-0.0549946,-0.0109162,-0.102858
5400,0.0001,0.863455,7.98484,1.59698,-0.0560229,-0.0111172,-0.102806
5500,0.0001,0.879424,7.98427,1.59687,-0.0570507,-0.0113178,-0.102754
5600,0.0001,0.895392,7.9837,1.59675,-0.058078,-0.0115182,-0.102701
5700,0.0001,0.911359,7.98311,1.59664,-0.0591047,-0.0117183,-0.102647
5800,0.0001,0.927325,7.98251,1.59652,-0.0601309,-0.0119181,-0.102592
5900,0.0001,0.94329,7.98191,1.5964,-0.0611566,-0.0121176,-0.102536
6000,0.0001,0.959253,7.98129,1.59628,-0.0621817,-0.0123168,-0.102479
6100,0.0001,0.975215,7.98066,1.59615,-0.0632062,-0.0125157,-0.102422
6200,0.0001,0.991176,7.98003,1.59603,-0.0642301,-0.0127142,-0.102363
6300,0.0001,1.00714,7.97938,1.5959,-0.0652534,-0.0129125,-0.102304
6400,0.0001,1.02309,7.97872,1.59577,-0.0662762,-0.0131104,-0.102243
6500,0.0001,1.03905,7.97805,1.59564,-0.0672983,-0.0133081,-0.102182
6600,0.0001,1.05501,7.97737,1.5955,-0.0683198,-0.0135054,-0.10212
6700,0.0001,1.07096,7.97669,1.59537,-0.0693407,-0.0137023,-0.102057
6800,0.0001,1.08691,7.97599,1.59523,-0.070361,-0.0138989,-0.101993
6900,0.0001,1.10287,7.97528,1.59509,-0.0713806,-0.0140952,-0.101928
7000,0.0001,1.11882,7.97456,1.59495,-0.0723995,-0.0142911,-0.101862
7100,0.0001,1.13476,7.97383,1.5948,-0.0734178,-0.0144867,-0.101796
7200,0.0001,1.15071,7.97309,1.59466,-0.0744355,-0.0146819,-0.101728
7300,0.0001,1.16666,7.97234,1.59451,-0.0754524,-0.0148768,-0.10166
7400,0.0001,1.1826,7.97158,1.59436,-0.0764687,-0.0150712,-0.101591
7500,0.0001,1.19854,7.97081,1.59421,-0.0774842,-0.0152654,-0.101521
7600,0.0001,1.21449,7.97003,1.59405,-0.0784991,-0.0154591,-0.10145
7700,0.0001,1.23043,7.96924,1.5939,-0.0795132,-0.0156525,-0.101378
7800,0.0001,1.24636,7.96844,1.59374,-0.0805266,-0.0158455,-0.101306
7900,0.0001,1.2623,7.96763,1.59358,-0.0815393,-0.0160381,-0.101232
8000,0.0001,1.27824,7.96681,1.59342,-0.0825513,-0.0162303,-0.101158
8100,0.0001,1.29417,7.96598,1.59326,-0.0835625,-0.0164221,-0.101083
8200,0.0001,1.3101,7.96514,1.59309,-0.084573,-0.0166135,-0.101007
8300,0.0001,1.32603,7.96429,1.59292,-0.0855826,-0.0168045,-0.10093
8400,0.0001,1.34196,7.96343,1.59276,-0.0865915,-0.0169951,-0.100852
8500,0.0001,1.35789,7.96256,1.59259,-0.0875997,-0.0171853,-0.100773
8600,0.0001,1.37381,7.96168,1.59241,-0.088607,-0.0173751,-0.100694
8700,0.0001,1.38973,7.96079,1.59224,-0.0896136,-0.0175644,-0.100614
8800,0.0001,1.40566,7.95988,1.59206,-0.0906193,-0.0177533,-0.100533
8900,0.0001,1.42158,7.95897,1.59188,-0.0916242,-0.0179418,-0.100451
9000,0.0001,1.43749,7.95805,1.5917,-0.0926283,-0.0181299,-0.100368
9100,0.0001,1.45341,7.95712,1.59152,-0.0936316,-0.0183175,-0.100285
9200,0.0001,1.46932,7.95618,1.59134,-0.094634,-0.0185047,-0.1002
9300,0.0001,1.48524,7.95523,1.59115,-0.0956356,-0.0186915,-0.100115
